Software Version:	2.0.6470.17062
Unit SN:	AIO-M72-0210
Spectrometer SN:	5335
Date:	1/8/2018 11:54:58 AM
Data Line Index:	25
Spectral Points:	1941
Integration time (ms):	10000
Averages:	20
Delay (ms):	0
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	753
Laser Diode Temp (C):	25
Laser Case Temp (C):	22.7
System Temp (C):	23.6
Spectrometer Temp (C):	20.7
CCD Temp (C):	-0.003
Secondary Temp (C):	20.006
Heatsink Temp (C):	18.895
CCDPCB Temp (C):	37.663
SecondaryPCB Temp (C):	25.024

Wavelength	RamanShift	Raw Counts	Dark Subtracted
846.3818	917.7119	11965.9	10057.7
846.527	919.7388	11848.05	9998.65
846.6722	921.765	11770.1	9973.9
846.8175	923.7905	12340.6	9926.65
846.9627	925.8153	11970.55	9893.8
847.1079	927.8393	11682.55	9866.15
847.2531	929.8627	11672.1	9835.4
847.3983	931.8853	11594.9	9764.6
847.5436	933.9073	11501.8	9758.55
847.6888	935.9285	11466.6	9722.75
847.834	937.949	11349.15	9657.95
847.9792	939.9688	11387.65	9600.1
848.1244	941.9879	11410.15	9575.8
848.2696	944.0063	11311.6	9486.55
848.4148	946.024	11382.35	9495.3
848.56	948.041	11218.4	9435.3
848.7052	950.0573	11174.7	9374.5
848.8504	952.0728	11187.25	9381.05
848.9957	954.0877	11136.95	9360.25
849.1409	956.1018	11068.45	9331.55
849.2861	958.1152	11096.2	9318.4
849.4313	960.1279	10986.7	9282.4
849.5765	962.1399	11000.65	9224.85
849.7216	964.1512	10925.95	9192.3
849.8668	966.1618	10966.9	9177.25
850.012	968.1717	10966.65	9123.2
850.1572	970.1808	10838	9073.95
850.3024	972.1893	10843	9045.45
850.4476	974.197	10848.55	9049.05
850.5928	976.204	10788.8	9036.9
850.738	978.2103	10766.5	9033.3
850.8831	980.2159	10799.55	9027.9
851.0283	982.2208	10932.1	9035
851.1735	984.2249	10980.3	9029.85
851.3187	986.2284	10820.15	9016.85
851.4638	988.2311	11143.2	8965.95
851.609	990.2331	10866.8	8936.95
851.7542	992.2344	10822.15	8902.4
851.8993	994.235	10893.2	8896.9
852.0445	996.2349	10762.45	8845.9
852.1897	998.2341	10694.15	8862.65
852.3348	1000.2325	10726.35	8866.95
852.48	1002.2302	10646.1	8871.5
852.6251	1004.2272	10544.6	8839.9
852.7703	1006.2235	10607.35	8814.25
852.9154	1008.2191	10550.05	8812.65
853.0606	1010.214	10610.05	8819.5
853.2057	1012.2081	10549.05	8803.3
853.3508	1014.2015	10523.25	8770
853.496	1016.1942	10516.85	8747.25
853.6411	1018.1862	10505.5	8714.45
853.7862	1020.1775	10620.2	8677.45
853.9314	1022.168	10548.6	8659.65
854.0765	1024.1579	10452.2	8667.2
854.2216	1026.147	10477.9	8668.7
854.3667	1028.1354	10473.75	8662.5
854.5118	1030.1231	10395.95	8646.4
854.657	1032.11	10427.95	8649.75
854.8021	1034.0963	10402.95	8663.8
854.9472	1036.0818	10330.2	8596.95
855.0923	1038.0666	10342.6	8567.75
855.2374	1040.0507	10371.1	8564.65
855.3825	1042.034	10435	8554.55
855.5275	1044.0166	10316.55	8532.15
855.6726	1045.9986	10303.15	8530.5
855.8177	1047.9798	10290.8	8515.4
855.9628	1049.9602	10255.95	8532.5
856.1079	1051.94	10286.7	8526
856.2529	1053.919	10265.5	8526.95
856.398	1055.8973	10233.2	8501.8
856.5431	1057.8749	10288.75	8462.55
856.6881	1059.8518	10231.55	8432.4
856.8332	1061.8279	10278.2	8423.15
856.9782	1063.8033	10236.55	8385.5
857.1233	1065.778	10156.2	8364.35
857.2683	1067.752	10127.7	8368.45
857.4134	1069.7253	10505.05	8374.1
857.5584	1071.6978	10298.6	8351.4
857.7034	1073.6696	10159.9	8371.95
857.8485	1075.6407	10108.55	8332.55
